Enter instruction,CLI command,timestamp
What is my IP address,ipconfig,2026-04-16 12:47:41.447616
show files in desktop,dir Desktop,2026-04-16 12:48:21.168677
delete all .tmp files,del *.tmp,2026-04-16 12:49:03.953686
format disk c,BLOCKED,2026-04-16 12:49:23.394958

show running processes,tasklist,2026-04-16 12:52:48.377806
show everything in downloads,dir Downloads,2026-04-16 12:53:02.217481
list files sorted by size,dir /o-s,2026-04-16 12:53:26.318562
delete file report.txt,del report.txt,2026-04-16 12:53:51.554317
create a folder named backup,mkdir backup,2026-04-16 12:54:06.194465
move file.txt to backup,move file.txt backup,2026-04-16 12:54:30.202732
shutdown my computer,BLOCKED,2026-04-16 12:54:45.025182
delete all files on my computer,BLOCKED,2026-04-16 12:54:58.940795
show current directory,cd,2026-04-16 12:57:45.352956
list all files,dir,2026-04-16 12:57:57.523140
go to downloads folder,cd Downloads,2026-04-16 12:58:19.099687
delete all .log files,del *.log,2026-04-16 12:58:34.798059
restart the computer,BLOCKED,2026-04-16 12:58:47.821539
I want to check what files I have in my downloads folder,dir Downloads,2026-04-16 12:59:03.280855

